config_id,config_name,components,tp,fp,tn,fn,tpr,tpr_ci_low,tpr_ci_high,far,far_ci_low,far_ci_high,accuracy,precision,recall,f1,avg_latency_ms
A,Signature-only,v1,160,0,200,40,0.8,0.7391448134346212,0.8495479907390189,0.0,1.734723475976807e-18,0.018845326377266575,0.9,1.0,0.8,0.8888888888888888,0.004149675369262695
B,Rules-only,v2,88,0,200,112,0.44,0.37297819251185865,0.5092832466534134,0.0,1.734723475976807e-18,0.018845326377266575,0.72,1.0,0.44,0.6111111111111112,0.0029480457305908203
C,Classifier-only,v3,114,0,200,86,0.57,0.5007048776415268,0.6366567766656557,0.0,1.734723475976807e-18,0.018845326377266575,0.785,1.0,0.57,0.7261146496815286,0.0027638673782348633
D,Signature + Rules,"v1, v2",168,0,200,32,0.84,0.7828592983793289,0.8843258796841297,0.0,1.734723475976807e-18,0.018845326377266575,0.92,1.0,0.84,0.9130434782608695,0.0031995773315429688
E,Signature + Classifier,"v1, v3",174,0,200,26,0.87,0.8163364812775159,0.9097179772033067,0.0,1.734723475976807e-18,0.018845326377266575,0.935,1.0,0.87,0.93048128342246,0.0032722949981689453
F,Rules + Classifier,"v2, v3",126,0,200,74,0.63,0.5612262992405018,0.6938739159014088,0.0,1.734723475976807e-18,0.018845326377266575,0.815,1.0,0.63,0.7730061349693251,0.0030422210693359375
G,All three combined,"v1, v2, v3",174,0,200,26,0.87,0.8163364812775159,0.9097179772033067,0.0,1.734723475976807e-18,0.018845326377266575,0.935,1.0,0.87,0.93048128342246,0.0033849477767944336
