config,tp,fp,tn,fn,tpr,tpr_ci_low,tpr_ci_high,far,far_ci_low,far_ci_high,precision,recall,f1
v1,160,0,200,40,0.8,0.7391448134346212,0.8495479907390189,0.0,1.734723475976807e-18,0.018845326377266575,1.0,0.8,0.8888888888888888
v3,114,0,200,86,0.57,0.5007048776415268,0.6366567766656557,0.0,1.734723475976807e-18,0.018845326377266575,1.0,0.57,0.7261146496815286
v1+v3_phase3,174,0,200,26,0.87,0.8163364812775159,0.9097179772033067,0.0,1.734723475976807e-18,0.018845326377266575,1.0,0.87,0.93048128342246
Normalizer+v1,160,0,200,40,0.8,0.7391448134346212,0.8495479907390189,0.0,1.734723475976807e-18,0.018845326377266575,1.0,0.8,0.8888888888888888
Normalizer+v3,114,0,200,86,0.57,0.5007048776415268,0.6366567766656557,0.0,1.734723475976807e-18,0.018845326377266575,1.0,0.57,0.7261146496815286
Normalizer+v1+v3,174,0,200,26,0.87,0.8163364812775159,0.9097179772033067,0.0,1.734723475976807e-18,0.018845326377266575,1.0,0.87,0.93048128342246
