config,total_tp,total_fn,total_attacks,tpr,tpr_ci_low,tpr_ci_high
v1,14,106,120,0.11666666666666667,0.0707811780783005,0.18633351617603885
v3,53,67,120,0.44166666666666665,0.3559974669953786,0.5309547690868035
v1+v3,59,61,120,0.49166666666666664,0.4038757172769723,0.5799746021633394
Normalizer+v1,14,106,120,0.11666666666666667,0.0707811780783005,0.18633351617603885
Normalizer+v3,53,67,120,0.44166666666666665,0.3559974669953786,0.5309547690868035
Normalizer+v1+v3,59,61,120,0.49166666666666664,0.4038757172769723,0.5799746021633394
