config,total_fp,total_tn,total_benign,far,far_ci_low,far_ci_high
v1,60,200,260,0.23076923076923078,0.18369962608266135,0.28567868684145115
v3,2,258,260,0.007692307692307693,0.0021120491738382853,0.027608294458824678
v1+v3,62,198,260,0.23846153846153847,0.1907087086015048,0.29383022395334735
Normalizer+v1,30,230,260,0.11538461538461539,0.08202960599906588,0.15993941246395205
Normalizer+v3,2,258,260,0.007692307692307693,0.0021120491738382853,0.027608294458824678
Normalizer+v1+v3,32,228,260,0.12307692307692308,0.08854565653904478,0.16858398155471277
